id,nom,insee,adresse,emplacements,statut,latitude,longitude
75118-T-922,PLACE ALBERT KAHN,75118,119 RUE DU MONT CENIS,6.0,en service,48.89552060331822,"2.34594253630664"
75107-T-253,Place Henry de Montherlant,75107,9 PLACE HENRY DE MONTHERLANT,9.0,en service,48.86047138562606,"2.32594270481029"
75109-T-309,Haussmann /Place Diaghilev,75109,29 BOULEVARD HAUSSMANN,16.0,en service,48.87325619965324,"2.3319100092403096"
75111-T-342,Boulevard de Charonne / Place des Antilles,75111,3 BOULEVARD DE CHARONNE,7.0,en service,48.84886413934422,"2.3985490020656095"
75111-T-353,Timbaud,75111,108 RUE JEAN-PIERRE TIMBAUD,6.0,en service,48.86824631608542,"2.3793071347743053"
75110-T-904,Gare du Nord SNCF,75110,18 RUE DE MAUBEUGE (cour des taxis),14.0,en service,48.88037588341335,"2.3535864946732197"
75119-T-483,Mouzaïa / Brunet,75119,1 RUE DE MOUZAIA,2.0,en service,48.880169305118876,"2.390665370792639"
75108-T-293,Champs Elysées / Arcades,75108,78 AVENUE DES CHAMPS ELYSEES,12.0,en service,48.87092190713012,"2.3051681993412765"
75116-T-076,Mozart - Jasmin,75116,84 AVENUE MOZART,7.0,en service,48.852130877220524,"2.267817725036695"
75118-T-096,Place du Tertre,75118,1 RUE DU CARDINAL DUBOIS,6.0,en service,48.88579002962867,"2.3428530517872077"
75109-T-034,Trinité d'Estienne d'Orves,75109,2 PLACE D'ESTIENNE D'ORVES,5.0,en service,48.87654727783263,"2.3325559250604675"
75108-T-028,Place de l'Alma,75108,1 AVENUE GEORGE V,12.0,en service,48.86523444937545,"2.3011518380792593"
75103-T-007,Beaubourg,75103,24 RUE BEAUBOURG,3.0,en service,48.86156282714138,"2.353820469256785"
75102-T-223,Quatre Septembre,75102,2 RUE DU QUATRE SEPTEMBRE,7.0,en service,48.86906520966371,"2.339823263033117"
75120-T-488,Pelleport,75120,90 RUE PELLEPORT,9.0,en service,48.86827295625821,"2.4015497559658403"
75116-T-925,FONDATION LOUIS VUITTON,75116,AVENUE DU MAHATMA GANDHI,6.0,en service,48.87605854694454,"2.2631364195913224"
75119-T-105,Mairie du 19ème,75119,1 AVENUE DE LAUMIÈRE,5.0,en service,48.88272329834341,"2.381363875525625"
75110-T-303,Place Jacques Bonsergent,75110,12 PLACE JACQUES BONSERGENT,5.0,en service,48.871242662606214,"2.3608025975484286"
75109-T-321,Caumartin,75109,49 RUE DE CAUMARTIN,6.0,en service,48.87342474018916,"2.328251107525473"
75110-T-327,Parmentier / Goncourt,75110,141 AVENUE PARMENTIER,8.0,en service,48.87018792531641,"2.3708108313790763"
75114-T-373,Maine / Froidevaux,75114,96 AVENUE DU MAINE,4.0,en service,48.83739532837302,"2.3231206312810166"
75108-T-291,Champs Elysées - Rond Point,75108,15 AVENUE DES CHAMPS ELYSEES,23.0,en service,48.869455911169844,"2.307495572013714"
75117-T-453,Pereire -Levallois,75117,116 BOULEVARD PEREIRE,5.0,en service,48.8854711099186,"2.297629921408648"
