id;nom;insee;adresse;emplacements;no_appel;info;statut;geo_shape;geopoint;geopoint_datagouv
75108-T-283;Madeleine / Vignon;75108;16 BOULEVARD DE LA MADELEINE;6;;;en service;"{""coordinates"": [2.3252991226940187, 48.86955864699722], ""type"": ""Point""}";48.86955864699722, 2.3252991226940187;2.3252991226940187, 48.86955864699722
75108-T-286;Balzac;75108;19 RUE BALZAC;1;;;en service;"{""coordinates"": [2.302044746178373, 48.875134949732114], ""type"": ""Point""}";48.875134949732114, 2.302044746178373;2.302044746178373, 48.875134949732114
75111-T-345;Voltaire / Montreuil;75111;255 BOULEVARD VOLTAIRE;5;;;en service;"{""coordinates"": [2.393205361526282, 48.85025697163553], ""type"": ""Point""}";48.85025697163553, 2.393205361526282;2.393205361526282, 48.85025697163553
75112-T-359;Reuilly Dugommier;75112;2 BOULEVARD DE REUILLY;5;;;en service;"{""coordinates"": [2.389847973622055, 48.838682570840014], ""type"": ""Point""}";48.838682570840014, 2.389847973622055;2.389847973622055, 48.838682570840014
75113-T-907;Gare d'Austerlitz SNCF;75113;79 COUR SEINE;10;;;en service;"{""coordinates"": [2.366443239664965, 48.842782176737195], ""type"": ""Point""}";48.842782176737195, 2.366443239664965;2.366443239664965, 48.842782176737195
75115-T-910;Gare Montparnasse - Pasteur - Taxis Libres;75115;PARKING PASTEUR;20;;;en service;"{""coordinates"": [2.316821531994814, 48.83912178651297], ""type"": ""Point""}";48.83912178651297, 2.316821531994814;2.316821531994814, 48.83912178651297
75115-T-400;Arrivée;75115;22 RUE DE L'ARRIVEE;15;;;en service;"{""coordinates"": [2.3212209851372934, 48.84291197499382], ""type"": ""Point""}";48.84291197499382, 2.3212209851372934;2.3212209851372934, 48.84291197499382
75117-T-461;Place des Ternes;75117;5 PLACE DES TERNES;6;;;en service;"{""coordinates"": [2.297651756534375, 48.87840460752123], ""type"": ""Point""}";48.87840460752123, 2.297651756534375;2.297651756534375, 48.87840460752123
75108-T-292;Champs-Elysée - Colisée;75108;44 AVENUE DES CHAMPS ELYSEES;17;;;en service;"{""coordinates"": [2.3072775481099574, 48.87024901648723], ""type"": ""Point""}";48.87024901648723, 2.3072775481099574;2.3072775481099574, 48.87024901648723
75115-T-385;Place de Breteuil /Valentin Hauy;75115;4 PLACE DE BRETEUIL;5;;;en service;"{""coordinates"": [2.3110011131633645, 48.84718552920911], ""type"": ""Point""}";48.84718552920911, 2.3110011131633645;2.3110011131633645, 48.84718552920911
75118-T-470;Nodier / Picard;75118;1 RUE CHARLES NODIER;3;;;en service;"{""coordinates"": [2.3447489778431385, 48.88476541016117], ""type"": ""Point""}";48.88476541016117, 2.3447489778431385;2.3447489778431385, 48.88476541016117
75115-T-911;Gare Montparnasse SNCF;75115;17 PARKING VAUGIRARD;;;;en service;"{""coordinates"": [2.317884809279539, 48.841098835106344], ""type"": ""Point""}";48.841098835106344, 2.317884809279539;2.317884809279539, 48.841098835106344
75114-T-061;Plaisance;75114;132 RUE RAYMOND LOSSERAND;8;0145416600;;en service;"{""coordinates"": [2.3137275861404536, 48.83163838470308], ""type"": ""Point""}";48.83163838470308, 2.3137275861404536;2.3137275861404536, 48.83163838470308
75117-T-091;Villiers - Courcelles;75117;3 AVENUE DE VILLIERS;19;0146220000;;en service;"{""coordinates"": [2.3148358882448776, 48.881528425489535], ""type"": ""Point""}";48.881528425489535, 2.3148358882448776;2.3148358882448776, 48.881528425489535
75108-T-032;Saint Augustin;75108;42 BOULEVARD MALESHERBES;11;0147425473;;en service;"{""coordinates"": [2.320349073027825, 48.87448148970032], ""type"": ""Point""}";48.87448148970032, 2.320349073027825;2.320349073027825, 48.87448148970032
